german,english,bulgarian(cyrillic),bulgarian(latin),croatian
eins,one,едно,edno,jedan
zwei,two,две,dve,dva
drei,three,три,tri,tri
vier,four,четири,chetiri,četiri
fünf,five,пет,pet,pet
sechs,six,шест,shest,šest
sieben,seven,седем,sedem,sedam
acht,eight,осем,osem,osam
neun,nine,девет,devet,devet
zehn,ten,десет,deset,deset
,,,,
zwanzig,twenty,двадесет,dvadeset,dvadeset
dreißig,thirty,тридесет,trideset,trideset
vierzig,forty,четиридесет,chetirideset,četrdeset
fünfzig,fifty,петдесет,petdeset,pedeset
sechszig,sixty,шестдесет,shestdeset,šezdeset
siebzig,seventy,седемдесет,sedemdeset,sedamdeset
achtzig,eighty,осемдесет,osemdeset,osamdeset
neunzig,ninety,деветдесет,devetdeset,devedeset
hundert,hundred,сто,sto,sto
tausend,thousand,хиляда,hiljada,tisuću
,,,,
weiß,white,бял,bjal,bijela
grau,gray,сив,siv,siva
gelb,yellow,жълт,zhylt,žuta
orange,orange,оранжев,oranzhev,narančasta
rot,red,червен,cherven,crvena
lila,purple,лилав,lilav,purpurna
grün,green,зелен,zelen,zelena
blau,blue,син,sin,plava
braun,brown,кафяв,kafjav,smeđa
schwarz,black,черен,cheren,crno
,,,,
hallo,hello,здравей,zdravej,zdravo
tschüss,bye,чао,chao,Pozdrav
auf wiedersehen,goodbye,довиждане,dovizhdane,doviđenja
,,,,
mama,mom,мама,mama,mama
papa,dad,тате,tate,tata
vater,father,баща,bashta,otac
bruder,brother,брат,brat,brat
schwester,sister,сестра,sestra,sestra
oma,grandma,баба,baba,baka
opa,grandpa,дядо,djado,deda
tante,aunt,леля,lelja,tetka
onkel,uncle,чичо,chicho,ujak
,,,,
januar,january,януари,januari,siječanj
februar,february,февруари,fevruari,veljača
märz,march,Март,mart,ožujak
april,april,април,april,travanj
mai,may,май,maj,svibanj
juni,june,юни,juni,lipanj
juli,july,юли,juli,srpanj
august,august,август,avgust,kolovoz
september,september,септември,septemvri,rujan
oktober,october,октомври,oktomvri,listopad
november,november,ноември,noemvri,studeni
dezember,december,декември,dekemvri,prosinac
,,,,
ich,i,аз,az,ja
du,you,ти,ti,ti
er,he,той,toj,on
sie,she,тя,tja,ona
es,it,то,to,ono
wir,we,ние,nie,mi
ihr,you,вие,vie,vi
sie,they,те,te,oni/one/ona
,,,,
bitte,please,моля,molja,molim
danke,thanks,мерси,mersi,hvala
dankeschön,thank you,благодаря,blagodarja,hvala
,,,,
ja,yes,да,da,da
nein,no,не,ne,ne
,,,,
und,and,и,i,i
oder,or,или,ili,ili
,,,,
giraffe,giraffe,жираф,zhiraf,
hai,shark,акула,akula,
elefant,elephant,слон,slon,
tiger,tiger,тигьр,tigyr,
löwe,lion,лъв,lyv,
hase,rabbit,заек,zaek,
affe,monkey,маймуна,majmuna,
hund,dog,куче,kuche,
katze,cat,котка,kotka,
vogel,bird,птица,ptitsa,
schlange,snake,змия,zmija,
bär,bear,мечка,mechka,
,,,,
olive,olive,маслина,maslina,maslina
